frame_id,found,nid2,nid1,pci,peak_pos,sss_pos,toa_ns,cfo_hz,pss_metric,pss_peak_ratio,sss_metric,sss_peak_ratio
93,0,-1,-1,-1,0,0,0,0.000,0.000000,1.043085,0.000000,0.000000
94,0,-1,-1,-1,0,0,0,0.000,0.000000,1.017175,0.000000,0.000000
95,0,-1,-1,-1,0,0,0,0.000,0.000000,1.042157,0.000000,0.000000
96,1,2,-1,-1,1386,0,12845084,-1239272.250,0.062390,1.174512,0.000000,1.079433
97,1,1,-1,-1,3390,0,13043651,1317344.750,0.066376,1.111114,0.000000,1.019877
98,1,2,-1,-1,1152,0,13104133,11947353.000,0.072221,1.148652,0.000000,1.045919
99,0,-1,-1,-1,0,0,0,0.000,0.000000,1.032772,0.000000,0.000000
100,1,1,-1,-1,2602,0,13417999,-8406336.000,0.087518,1.368066,0.000000,1.027195
101,0,-1,-1,-1,0,0,0,0.000,0.000000,1.022761,0.000000,0.000000
102,1,0,-1,-1,76,0,13602438,-8625171.000,0.068831,1.124554,0.000000,1.008344
103,0,-1,-1,-1,0,0,0,0.000,0.000000,1.008198,0.000000,0.000000
104,1,1,155,466,2236,3914,13939417,4895835.000,0.072150,1.116136,0.087712,1.178941
105,0,-1,-1,-1,0,0,0,0.000,0.000000,1.064284,0.000000,0.000000
106,0,-1,-1,-1,0,0,0,0.000,0.000000,1.031599,0.000000,0.000000
107,0,-1,-1,-1,0,0,0,0.000,0.000000,1.047566,0.000000,0.000000
108,1,1,-1,-1,1512,0,14449181,-13314244.000,0.079506,1.147842,0.000000,1.050916
109,1,2,-1,-1,676,0,14555301,974235.125,0.076245,1.226016,0.000000,1.035745
110,1,1,-1,-1,386,0,14679194,-7149557.000,0.084089,1.369699,0.000000,1.034738
111,1,0,245,735,1646,3688,14853542,-15282739.000,0.059045,1.116288,0.095142,1.087394
112,1,2,-1,-1,2870,0,15026719,-56908.461,0.067319,1.132977,0.000000,1.033814
113,0,-1,-1,-1,0,0,0,0.000,0.000000,1.014597,0.000000,0.000000
114,1,2,321,965,2860,3908,15293059,4787591.000,0.070166,1.124170,0.079312,1.124120
115,1,2,141,425,1750,3928,15390260,7229977.500,0.077986,1.092481,0.095549,1.088299
116,0,-1,-1,-1,0,0,0,0.000,0.000000,1.016531,0.000000,0.000000
117,0,-1,-1,-1,0,0,0,0.000,0.000000,1.075393,0.000000,0.000000
118,1,1,-1,-1,286,0,15742602,4901700.000,0.070686,1.113317,0.000000,1.057960
119,1,0,-1,-1,368,0,15878605,5788390.000,0.079211,1.143178,0.000000,1.050474
120,1,0,-1,-1,2356,0,16076651,2563298.000,0.070842,1.097221,0.000000,1.045690
121,0,-1,-1,-1,0,0,0,0.000,0.000000,1.022879,0.000000,0.000000
122,1,0,28,84,530,2607,16283877,4452050.500,0.079506,1.152854,0.094798,1.153972
123,0,-1,-1,-1,0,0,0,0.000,0.000000,1.055964,0.000000,0.000000
124,1,2,-1,-1,48,0,16534853,6094896.500,0.070860,1.188415,0.000000,1.013784
125,0,-1,-1,-1,0,0,0,0.000,0.000000,1.045212,0.000000,0.000000
126,1,2,276,830,2612,3906,16884983,-10075847.000,0.074884,1.294055,0.080383,1.084513
127,1,1,154,463,3574,3945,17049631,9590540.000,0.068946,1.172884,0.090578,1.297219
128,0,-1,-1,-1,0,0,0,0.000,0.000000,1.016239,0.000000,0.000000
129,0,-1,-1,-1,0,0,0,0.000,0.000000,1.043990,0.000000,0.000000
130,0,-1,-1,-1,0,0,0,0.000,0.000000,1.021347,0.000000,0.000000
131,0,-1,-1,-1,0,0,0,0.000,0.000000,1.046478,0.000000,0.000000
132,1,2,-1,-1,2888,0,17693965,-554257.000,0.089227,1.341830,0.000000,1.028443
133,1,1,-1,-1,2870,0,17826712,28368.236,0.075263,1.152677,0.000000,1.021719
134,1,0,-1,-1,3492,0,17980292,-1482595.250,0.093144,1.379872,0.000000,1.025653
135,1,1,194,583,2400,3962,18078079,6442555.500,0.074662,1.116200,0.089659,1.193341
136,1,1,29,88,1194,3366,18172154,-10679060.000,0.071642,1.202183,0.108883,1.088494
137,1,0,-1,-1,162,0,18271893,-11528605.000,0.058580,1.128548,0.000000,1.079007
138,1,0,307,921,2830,3957,18492075,-11146009.000,0.069027,1.305771,0.074352,1.136860
139,0,-1,-1,-1,0,0,0,0.000,0.000000,1.070451,0.000000,0.000000
140,0,-1,-1,-1,0,0,0,0.000,0.000000,1.014506,0.000000,0.000000
141,1,1,-1,-1,1290,0,18841944,4639185.500,0.067872,1.104104,0.000000,1.006806
142,0,-1,-1,-1,0,0,0,0.000,0.000000,1.001839,0.000000,0.000000
143,1,2,-1,-1,2524,0,19148779,-8268413.500,0.083907,1.311363,0.000000,1.017325
144,1,0,-1,-1,3954,0,19328661,-15024063.000,0.066259,1.142290,0.000000,1.003624
145,0,-1,-1,-1,0,0,0,0.000,0.000000,1.059772,0.000000,0.000000
146,0,-1,-1,-1,0,0,0,0.000,0.000000,1.026918,0.000000,0.000000
147,1,2,-1,-1,3668,0,19719351,-11044604.000,0.058871,1.130267,0.000000,1.020628
148,1,0,-1,-1,2354,0,19809910,-12122503.000,0.088658,1.472437,0.000000,1.022571
149,0,-1,-1,-1,0,0,0,0.000,0.000000,1.005016,0.000000,0.000000
150,0,-1,-1,-1,0,0,0,0.000,0.000000,1.067996,0.000000,0.000000
151,0,-1,-1,-1,0,0,0,0.000,0.000000,1.050186,0.000000,0.000000
152,1,2,-1,-1,392,0,20279375,-7769965.000,0.069519,1.083386,0.000000,1.052133
153,1,0,-1,-1,2542,0,20482695,-7455580.000,0.066370,1.207461,0.000000,1.047660
154,0,-1,-1,-1,0,0,0,0.000,0.000000,1.050672,0.000000,0.000000
155,0,-1,-1,-1,0,0,0,0.000,0.000000,1.007399,0.000000,0.000000
156,0,-1,-1,-1,0,0,0,0.000,0.000000,1.029914,0.000000,0.000000
157,1,2,29,89,3080,3925,21033540,-6737039.000,0.083496,1.236161,0.094075,1.185141
158,0,-1,-1,-1,0,0,0,0.000,0.000000,1.037849,0.000000,0.000000
159,0,-1,-1,-1,0,0,0,0.000,0.000000,1.005952,0.000000,0.000000
160,0,-1,-1,-1,0,0,0,0.000,0.000000,1.001718,0.000000,0.000000
161,0,-1,-1,-1,0,0,0,0.000,0.000000,1.006110,0.000000,0.000000
162,0,-1,-1,-1,0,0,0,0.000,0.000000,1.018642,0.000000,0.000000
163,0,-1,-1,-1,0,0,0,0.000,0.000000,1.016167,0.000000,0.000000
